hindi,english
के,The
है,is
में,In
की,Of
से,From
और,And
का,Of
को,To
हैं,Huh
पर,On
भी,Too
नहीं,No
कि,That
एक,One
ही,Only
हो,Ho
तो,so
यह,this
था,Was
ने,has
इस,this
लिए,for
कर,Tax
वह,that
किया,did
गया,Gone
तथा,And
करने,To
जो,that
अपने,Ours
थे,Were
थी,was
न,not
कुछ,some
जाता,go
साथ,with
या,or
तक,till
होता,Happen
दिया,gave
जा,Going
रहा,Stayed
मैं,I
कोई,someone
वे,They
हुए,The
रूप,form
किसी,Any
हुआ,Happened
उसे,Him
बात,talk
द्वारा,by
समय,Time
उसके,his
क्या,what
कहा,said
गई,Went
प्रकार,type
अपनी,mine
करते,do
उस,That
रहे,are
एवं,And
होती,The
सकता,can
जब,when
रही,doing
बहुत,very
अधिक,more
होने,Having
जाती,Are
दो,two
तरह,Kind
बाद,after
इन,In
कारण,reason
फिर,Again
हुई,Hui
करना,do
हम,We
उनके,Their
अब,Now
वाले,With
चाहिए,needed
जाने,To
कार्य,Work
लेकिन,but
करता,Offers
गये,Added
इसके,Its
काम,work
ओर,And
आदि,e.t.c
वर्ष,The year
दी,The
प्राप्त,get
पहले,first
उसकी,Her
विकास,development
आ,come
जैसे,like
आप,you
होते,Are
भारत,India
सरकार,Government
जी,G
उन्हें,them
दिन,day
कम,Less
ये,these
जीवन,life
क्षेत्र,Area
कभी,sometimes
लोग,People
:,:
देश,Country
उसने,He
मुझे,me
जाते,Are
दोनों,Both
बार,times
अन्य,other
आज,today
व,and
होगा,Will happen
गयी,Added
गए,went
उसका,His
यदि,If
उनकी,Their
पास,near
सभी,All
घर,House
लिया,took
इसी,Similar
सब,All
लोगों,People
लिये,To
तब,Then
उन्होंने,They
नाम,Name
हूं,I
ऐसे,So
ऐसा,Like this
अपना,ours
दूसरे,Others
लगा,felt
केवल,In college
राज्य,state
उन,Those
सकते,Can
करके,By
ले,Take
व्यक्ति,person
तुम,you
श्री,Mr
मे,On
मेरे,my
भारतीय,Indian
प्रति,Per
वाली,By
दे,Give
सी,C
सकती,Can
ऐसी,Such
करती,The
विशेष,special
देने,To
प्रयोग,Experiment
क्योंकि,Because
